id,AGE,GENDER,H2,C2,FHD2,FC2,H4,C4,FHD4,FC4,H6,C6,FHD6,FC6,H9,C9,FHD9,FC9,H10,C10,FHD10,FC10,H13,C13,FHD13,FC13,H16,C16,FHD16,FC16
303,61,1,2,3,2,2,3,1,1,1,2,4,2,4,1,1,1,1,5,1,1,2,4,3,4,3,2,1,1,2
308,55,2,5,2,5,2,1,4,1,4,2,4,2,4,1,2,1,2,3,4,3,4,3,1,1,4,2,2,2,3
310,20,2,2,2,2,3,3,2,3,2,2,4,2,4,5,3,5,3,1,2,1,3,5,2,5,2,4,2,1,1
311,24,1,4,2,3,2,5,4,5,3,3,1,2,1,4,3,4,3,5,2,1,3,1,1,1,2,2,2,1,2
312,53,2,5,2,5,2,1,1,1,2,1,1,1,1,4,2,4,1,1,1,1,1,1,1,1,4,3,2,1,2
314,53,2,4,1,4,2,5,4,5,4,2,4,2,4,4,1,4,1,5,3,5,3,1,1,1,1,1,1,1,1
315,24,2,5,2,4,3,3,2,3,1,2,1,2,2,2,2,1,3,4,1,1,2,5,1,1,1,4,1,1,1
317,24,1,5,1,5,1,5,2,5,2,1,2,1,2,4,3,4,3,5,2,3,2,2,1,2,1,5,1,1,2
318,34,2,2,2,2,2,5,2,1,2,3,2,2,1,4,3,4,3,3,1,1,1,3,1,1,1,4,2,1,3
319,29,1,4,2,4,3,5,2,5,2,4,1,2,2,4,2,4,2,5,1,5,1,2,1,1,2,5,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,29.46195652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14.37395445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
